,t,ticks,I
255,49039892,7777,46
256,49042596,7792,46
257,49045300,7806,46
258,49048004,7821,46
259,49050708,7835,46
260,49053412,7850,45
261,49056116,7864,46
262,49058829,7878,46
263,49061542,7893,44
264,49064245,7907,44
265,49066949,7921,46
266,49069654,7935,45
267,49072358,7949,45
268,49075061,7963,44
269,49077766,7977,44
270,49080469,7991,44
271,49083174,8004,46
272,49085877,8018,46
273,49088582,8032,47
274,49091286,8046,47
275,49093991,8060,44
276,49096702,8073,45
277,49099406,8087,45
278,49102110,8101,45
279,49104814,8114,45
280,49107518,8128,44
281,49110222,8142,44
282,49112926,8155,44
283,49115630,8169,45
284,49118334,8182,45
285,49121038,8196,45
286,49123742,8209,45
287,49126446,8223,44
288,49129150,8236,45
289,49131854,8249,45
290,49134560,8263,47
291,49137271,8276,47
292,49139975,8290,45
293,49142679,8303,45
294,49145383,8317,45
295,49148087,8330,47
296,49150791,8344,47
297,49153495,8357,45
298,49156199,8371,46
299,49158903,8384,46
300,49161607,8398,45
301,49164319,8411,45
302,49167024,8425,45
303,49169736,8438,46
304,49172440,8451,46
305,49175144,8465,47
306,49177848,8479,47
307,49180552,8492,46
308,49183256,8505,46
309,49185960,8519,46
310,49188664,8533,47
311,49191368,8546,47
312,49194072,8560,49
313,49196776,8573,49
314,49199480,8587,47
315,49202184,8601,47
316,49204888,8615,47
317,49207592,8628,48
318,49210296,8642,48
319,49213002,8656,46
320,49215713,8670,49
321,49218417,8684,49
322,49221121,8698,49
323,49223825,8712,49
324,49226529,8726,50
325,49229233,8741,48
326,49231937,8754,48
327,49234641,8768,48
328,49237345,8783,48
329,49240049,8797,50
330,49242753,8812,51
331,49245457,8826,51
332,49248161,8840,50
333,49250865,8855,50
334,49253569,8870,50
335,49256273,8884,51
336,49258986,8899,51
337,49261689,8914,50
338,49264402,8929,50
339,49267106,8944,51
340,49269810,8959,51
341,49272514,8974,52
342,49275227,8989,52
343,49277933,9004,52
344,49280644,9019,52
345,49283356,9035,52
346,49286069,9050,55
347,49288773,9066,54
348,49291477,9081,54
349,49294181,9097,54
350,49296885,9113,54
351,49299589,9129,53
352,49302302,9144,55
353,49305006,9161,55
354,49307710,9177,55
355,49310414,9193,55
356,49313118,9209,56
357,49315822,9225,57
358,49318525,9242,57
359,49321230,9258,56
360,49323933,9275,56
361,49326638,9292,57
362,49329341,9309,58
363,49332045,9326,58
364,49334749,9342,57
365,49337454,9360,57
366,49340158,9377,57
367,49342861,9394,57
368,49345565,9411,57
369,49348269,9429,58
370,49350974,9447,58
371,49353686,9464,59
372,49356390,9482,59
373,49359094,9500,60
374,49361798,9518,60
375,49364502,9536,60
376,49367206,9555,59
377,49369910,9573,59
378,49372623,9592,59
379,49375327,9610,63
380,49378040,9629,63
381,49380744,9648,60
382,49383448,9667,60
383,49386152,9686,59
384,49388855,9705,62
385,49391559,9724,62
386,49394264,9744,64
387,49396967,9764,64
388,49399671,9783,61
389,49402376,9803,63
390,49405080,9823,63
391,49407783,9843,62
392,49410487,9863,62
393,49413200,9884,62
394,49415904,9904,63
395,49418608,9925,63
396,49421312,9946,63
397,49424025,9966,63
398,49426738,9987,64
399,49429441,10009,64
400,49432232,10030,62
401,49435023,10052,62
402,49437813,10075,62
403,49440604,10097,64
404,49443395,10119,65
405,49446186,10142,65
406,49448976,10165,62
407,49451767,10188,62
408,49454558,10211,65
409,49457348,10234,63
410,49460139,10257,63
411,49462938,10281,65
412,49465729,10304,65
413,49468519,10329,66
414,49471310,10353,65
415,49474101,10377,65
416,49476900,10401,65
417,49479691,10425,65
418,49482481,10450,59
419,49485272,10475,62
420,49488072,10500,62
421,49490862,10525,67
422,49493662,10550,63
423,49496452,10576,63
424,49499251,10601,64
425,49502042,10627,64
426,49504833,10653,65
427,49507624,10679,61
428,49510414,10705,61
429,49513214,10732,61
430,49516004,10758,61
431,49518795,10785,61
432,49521585,10811,62
433,49524376,10838,62
434,49527167,10865,62
435,49529957,10892,65
436,49532748,10920,65
437,49535539,10947,60
438,49538330,10975,60
439,49541120,11003,61
440,49543919,11031,64
441,49546710,11059,64
442,49549501,11087,61
443,49552291,11116,61
444,49555082,11144,59
445,49557873,11173,60
446,49560663,11202,60
447,49563463,11232,60
448,49566253,11261,60
449,49569044,11290,60
450,49571835,11320,56
451,49574625,11350,56
452,49577425,11379,57
453,49580215,11410,60
454,49583006,11440,60
455,49585797,11470,54
456,49588587,11501,54
457,49591378,11531,57
458,49594169,11562,58
459,49596968,11593,58
460,49599759,11624,54
461,49602549,11656,54
